# nthr =  12
 N =  2, L =      2097152, 4.86e+03 ± 1.95e+01 usec/call, perf. = 5.1832e+00 GFlop/sec, bw = 3.4555e+00 GBytes/sec
 N =  3, L =       932067, 5.05e+03 ± 1.32e+01 usec/call, perf. = 8.3108e+00 GFlop/sec, bw = 3.3243e+00 GBytes/sec
 N =  4, L =       524288, 6.50e+03 ± 4.25e+01 usec/call, perf. = 9.0310e+00 GFlop/sec, bw = 2.5803e+00 GBytes/sec
 N =  5, L =       335544, 4.84e+03 ± 1.03e+02 usec/call, perf. = 1.5603e+01 GFlop/sec, bw = 3.4674e+00 GBytes/sec
 N =  6, L =       233016, 5.24e+03 ± 1.34e+01 usec/call, perf. = 1.7616e+01 GFlop/sec, bw = 3.2030e+00 GBytes/sec
 N =  7, L =       171196, 5.90e+03 ± 6.44e+01 usec/call, perf. = 1.8481e+01 GFlop/sec, bw = 2.8432e+00 GBytes/sec
 N =  8, L =       131072, 6.55e+03 ± 2.49e+01 usec/call, perf. = 1.9223e+01 GFlop/sec, bw = 2.5631e+00 GBytes/sec
 N =  9, L =       103563, 6.81e+03 ± 6.11e+01 usec/call, perf. = 2.0949e+01 GFlop/sec, bw = 2.4646e+00 GBytes/sec
 N = 10, L =        83886, 7.61e+03 ± 6.84e+01 usec/call, perf. = 2.0942e+01 GFlop/sec, bw = 2.2045e+00 GBytes/sec
 N = 11, L =        69327, 8.31e+03 ± 5.76e+01 usec/call, perf. = 2.1197e+01 GFlop/sec, bw = 2.0188e+00 GBytes/sec
 N = 12, L =        58254, 9.24e+03 ± 6.25e+01 usec/call, perf. = 2.0880e+01 GFlop/sec, bw = 1.8157e+00 GBytes/sec
 N = 13, L =        49636, 1.01e+04 ± 9.56e+01 usec/call, perf. = 2.0821e+01 GFlop/sec, bw = 1.6656e+00 GBytes/sec
 N = 14, L =        42799, 1.10e+04 ± 7.55e+01 usec/call, perf. = 2.0594e+01 GFlop/sec, bw = 1.5254e+00 GBytes/sec
 N = 15, L =        37282, 1.18e+04 ± 6.29e+01 usec/call, perf. = 2.0534e+01 GFlop/sec, bw = 1.4161e+00 GBytes/sec
 N = 16, L =        32768, 1.31e+04 ± 6.62e+01 usec/call, perf. = 1.9922e+01 GFlop/sec, bw = 1.2853e+00 GBytes/sec


# nthr =  8
 N =  2, L =      2097152, 6.97e+03 ± 2.72e+01 usec/call, perf. = 3.6126e+00 GFlop/sec, bw = 2.4084e+00 GBytes/sec
 N =  3, L =       932067, 7.36e+03 ± 1.76e+01 usec/call, perf. = 5.6997e+00 GFlop/sec, bw = 2.2799e+00 GBytes/sec
 N =  4, L =       524288, 9.80e+03 ± 4.30e+01 usec/call, perf. = 5.9902e+00 GFlop/sec, bw = 1.7115e+00 GBytes/sec
 N =  5, L =       335544, 7.01e+03 ± 4.52e+01 usec/call, perf. = 1.0766e+01 GFlop/sec, bw = 2.3923e+00 GBytes/sec
 N =  6, L =       233016, 7.75e+03 ± 4.62e+01 usec/call, perf. = 1.1905e+01 GFlop/sec, bw = 2.1646e+00 GBytes/sec
